epoch,lr,train_loss,train_iou,train_dice,val_loss,val_iou,val_dice
1,0.001,0.2639488694714565,,,0.1961132287979126,0.936916328393496,0.9570749952242925
2,0.001,0.18653446552800199,,,0.13946515321731567,0.9312999523602999,0.9540446492341849
3,0.001,0.14339205797980814,,,0.09425013340436496,0.9371773463029128,0.9571412113996652
4,0.0005,0.11898410437153835,,,0.07962396053167489,0.9370245704284081,0.9571425181168777
5,0.0005,0.10705914684370452,,,0.07414489526015061,0.9404735611035273,0.9588722173984234
6,0.0005,0.10136522381913428,,,0.06831204891204834,0.9385714989442092,0.9578384848741385
7,0.0005,0.09728317167244706,,,0.0622597886965825,0.9387532885258014,0.9579607844352722
8,0.00025,0.09171916807399076,,,0.2591940485514127,0.6241872654511378,0.7538657165490664
9,0.00025,0.08605693718966316,,,0.06275835862526527,0.9301527096674993,0.9535876099879925
10,0.00025,0.086341425484302,,,0.05607756743064293,0.9392851361861596,0.9582563363588773
